,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
336,27.1,62.0,1.0,0.75,13.0,1.0,0,24,90,254
337,27.6,64.0,5.0,0.68,8.0,0.0,0,24,90,292
338,32.3,74.0,6.0,0.64,6.0,0.0,0,24,91,269
339,27.7,64.0,6.0,0.59,5.0,0.0,0,23,92,252
340,25.0,57.0,5.0,0.59,5.0,0.0,0,23,92,267
341,25.8,59.0,5.0,0.63,6.0,0.0,0,23,92,263
342,26.0,60.0,2.0,0.75,10.0,0.0,0,23,93,231
343,24.6,56.0,4.0,0.97,19.0,0.0,0,24,89,251
344,27.9,63.0,18.0,0.72,14.0,0.0,0,27,80,252
345,34.0,75.0,42.0,0.31,7.0,0.0,1,30,64,100
346,26.3,55.0,47.0,0.27,4.0,0.0,1,31,59,77
347,24.1,50.0,51.0,0.27,4.0,0.0,1,32,57,74
348,25.0,52.0,60.0,0.38,3.0,0.34,1,33,53,82
349,19.2,37.0,60.0,0.28,7.11,1.0,2,33,52,75
350,21.8,42.0,16.56,0.3,7.0,1.0,2,32,55,59
351,23.7,48.0,50.0,0.3,7.0,1.0,2,31,61,62
352,28.9,60.0,40.0,0.42,14.0,1.0,2,30,66,50
353,32.1,68.0,41.0,0.46,14.0,1.0,2,29,67,49
354,28.4,61.0,38.0,0.48,15.0,1.0,1,29,69,31
355,30.5,66.0,42.0,0.42,11.0,1.0,1,28,76,62
356,28.4,58.0,40.0,0.22,3.0,1.0,2,24,97,169
357,19.0,39.0,37.0,0.22,4.0,1.0,1,24,98,179
358,12.8,27.0,39.0,0.22,2.0,1.0,1,23,98,283
359,16.1,32.0,37.0,0.22,2.0,1.0,1,23,98,292
360,12.5,24.0,37.0,0.28,3.0,1.0,1,24,98,342
361,10.5,19.0,33.0,0.24,2.0,0.0,2,24,95,343
362,10.4,20.0,28.0,0.26,4.0,0.0,1,24,91,344
363,8.3,18.0,21.0,0.29,6.0,0.0,0,24,92,334
364,10.9,22.0,17.0,0.26,3.0,0.0,1,24,95,211
365,13.8,29.0,17.0,0.3,3.0,0.0,1,24,95,301
366,11.5,26.0,12.0,0.41,8.0,0.0,0,24,93,326
367,11.8,26.0,11.0,0.58,10.0,0.0,0,25,90,354
368,14.7,31.0,22.0,0.53,9.0,0.0,1,28,77,352
